,Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
3027,0,3.0,1,16.0,2.0,5,2,2,0,18.0,3.0,3.0,3.0,164.83,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3028,0,4.0,3,12.0,2.0,5,3,3,0,14.0,1.0,2.0,3.0,186.18,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3029,0,1.0,3,15.0,3.0,4,4,3,0,19.0,1.0,2.0,8.0,187.14,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
3030,0,11.0,1,12.0,4.0,4,2,9,0,17.0,1.0,2.0,5.0,188.47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3032,0,5.0,1,14.0,3.0,4,2,3,1,15.0,3.0,5.0,11.0,196.43,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
3033,0,3.0,3,17.0,3.0,5,4,3,1,15.0,1.0,2.0,8.0,207.68,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3034,0,9.0,1,12.0,4.0,4,4,2,0,14.0,1.0,2.0,14.0,205.95,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
3035,0,1.0,1,33.0,3.0,4,2,3,0,13.0,2.0,2.0,3.0,154.04,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3036,0,15.0,1,13.0,4.0,5,4,8,1,16.0,2.0,2.0,3.0,185.32,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
3037,0,21.0,3,11.0,3.0,4,3,5,0,20.0,1.0,2.0,1.0,154.76,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
3039,0,3.0,3,9.0,4.0,4,3,3,0,15.0,2.0,2.0,3.0,171.49,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3040,0,16.0,2,9.0,3.0,4,3,2,1,12.0,2.0,2.0,1.0,151.96,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3041,0,6.0,1,9.0,4.0,4,4,3,0,14.0,1.0,2.0,8.0,148.7,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
3043,0,11.0,1,13.0,3.0,3,5,6,1,14.0,3.0,7.0,8.0,184.74,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3044,0,4.0,3,32.0,3.0,4,3,9,1,13.0,2.0,3.0,3.0,172.36,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3045,0,1.0,3,7.0,3.0,4,3,3,0,18.0,3.0,8.0,8.0,177.96,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3046,0,16.0,1,9.0,4.0,5,2,5,0,24.0,1.0,2.0,1.0,192.81,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
3047,1,1.0,3,7.0,3.0,5,4,3,1,12.0,2.0,2.0,3.0,146.74,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3048,0,10.0,3,7.0,3.0,4,2,6,0,16.0,2.0,2.0,1.0,191.53,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3050,0,31.0,1,7.0,3.0,4,3,4,0,12.0,2.0,2.0,3.0,192.55,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3051,0,14.0,1,17.0,3.0,3,3,5,1,14.0,1.0,2.0,8.0,147.13,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
3052,0,1.0,3,16.0,3.0,4,2,3,0,25.0,1.0,3.0,3.0,151.1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3053,1,1.0,3,12.0,3.0,4,3,3,1,14.0,2.0,2.0,1.0,153.51,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
3054,0,11.0,1,17.0,4.0,4,5,8,0,21.0,2.0,2.0,4.0,159.52,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
3055,0,20.0,1,14.0,2.0,4,3,4,0,15.0,1.0,2.0,1.0,177.58,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3058,1,4.0,3,29.0,4.0,5,3,4,1,13.0,2.0,2.0,1.0,188.8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3059,0,5.0,1,16.0,3.0,5,4,2,1,17.0,2.0,3.0,3.0,151.57,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3060,1,1.0,3,19.0,3.0,3,4,3,0,16.0,1.0,2.0,1.0,152.16,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3061,0,3.0,1,30.0,3.0,4,2,11,0,17.0,2.0,2.0,3.0,147.01,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3062,0,9.0,1,16.0,4.0,5,4,11,0,20.0,2.0,2.0,1.0,190.4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3063,0,1.0,1,7.0,3.0,4,4,3,0,12.0,1.0,2.0,5.0,163.16,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
3064,0,2.0,3,16.0,4.0,4,2,3,0,17.0,2.0,2.0,8.0,177.53,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3065,0,23.0,1,14.0,3.0,5,3,10,0,25.0,2.0,2.0,1.0,170.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3066,0,25.0,3,21.0,3.0,4,2,6,0,12.0,1.0,2.0,8.0,174.36,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
3067,0,10.0,1,9.0,4.0,4,3,6,0,14.0,2.0,3.0,3.0,150.43,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
3068,1,1.0,3,26.0,4.0,3,2,10,1,14.0,2.0,2.0,5.0,178.04,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3070,0,1.0,3,17.0,4.0,4,3,3,1,13.0,1.0,2.0,4.0,167.6,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3071,0,4.0,3,9.0,4.0,4,4,3,0,19.0,2.0,2.0,1.0,149.76,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3072,1,1.0,1,10.0,4.0,4,5,2,0,23.0,1.0,2.0,5.0,156.02,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3073,0,1.0,1,18.0,3.0,4,4,3,0,14.0,2.0,2.0,3.0,147.44,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
3074,0,10.0,3,9.0,4.0,5,3,3,0,14.0,10.0,10.0,1.0,200.96,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
3075,1,1.0,1,11.0,3.0,4,2,20,1,24.0,2.0,2.0,1.0,147.85,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3076,0,11.0,1,21.0,4.0,4,5,3,0,13.0,4.0,13.0,18.0,155.34,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3077,0,14.0,3,9.0,3.0,4,4,9,0,13.0,1.0,2.0,4.0,182.15,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3078,0,16.0,1,7.0,4.0,4,5,5,0,17.0,2.0,2.0,3.0,150.76,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3079,0,11.0,1,17.0,3.0,4,4,4,1,13.0,1.0,2.0,2.0,166.97,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3081,0,14.0,1,9.0,4.0,5,3,8,0,23.0,2.0,2.0,1.0,159.48,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3083,0,8.0,3,11.0,4.0,4,3,11,0,16.0,2.0,2.0,3.0,190.38,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
3084,0,5.0,1,14.0,3.0,4,5,3,0,13.0,4.0,4.0,13.0,168.06,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3085,0,17.0,1,28.0,4.0,4,2,9,0,21.0,1.0,2.0,3.0,147.58,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3086,0,17.0,1,15.0,4.0,4,3,6,1,15.0,1.0,2.0,3.0,170.22,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
3087,0,1.0,3,11.0,3.0,5,2,3,1,12.0,1.0,2.0,4.0,169.87,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3088,0,11.0,1,32.0,4.0,4,3,5,1,16.0,4.0,11.0,8.0,169.49,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3089,0,5.0,1,7.0,4.0,5,5,3,0,13.0,1.0,4.0,3.0,147.18,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3092,0,4.0,3,19.0,3.0,4,3,2,0,12.0,4.0,5.0,5.0,190.77,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3093,0,15.0,3,7.0,3.0,3,5,3,0,17.0,2.0,2.0,8.0,208.92,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
3094,0,2.0,1,24.0,4.0,4,5,3,0,13.0,1.0,2.0,9.0,170.58,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3095,1,1.0,1,10.0,4.0,4,5,7,0,14.0,2.0,2.0,3.0,165.31,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3096,0,26.0,1,10.0,3.0,5,3,4,1,15.0,1.0,2.0,5.0,204.69,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
3097,0,19.0,1,17.0,4.0,4,2,5,0,22.0,2.0,2.0,3.0,151.54,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3099,0,16.0,1,36.0,4.0,4,3,4,0,12.0,2.0,2.0,3.0,170.56,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3100,0,4.0,1,9.0,3.0,6,2,4,0,21.0,1.0,2.0,3.0,185.91,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3102,0,20.0,1,25.0,3.0,4,3,4,0,15.0,1.0,2.0,9.0,173.1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
3103,0,16.0,1,35.0,3.0,5,2,2,0,12.0,1.0,2.0,5.0,170.23,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3104,1,1.0,3,7.0,4.0,4,4,3,1,17.0,2.0,2.0,5.0,157.02,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3105,1,1.0,3,13.0,3.0,6,3,2,0,17.0,2.0,2.0,1.0,148.51,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
3106,0,12.0,1,9.0,3.0,4,2,3,1,24.0,2.0,2.0,1.0,142.02,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3108,0,1.0,1,30.0,3.0,4,2,3,0,23.0,2.0,2.0,3.0,153.86,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3109,0,4.0,1,10.0,3.0,4,2,6,0,16.0,1.0,2.0,5.0,145.97,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3111,1,1.0,1,32.0,4.0,5,4,7,0,17.0,1.0,2.0,2.0,150.46,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3112,1,1.0,2,9.0,3.0,5,2,3,0,13.0,2.0,2.0,1.0,150.64,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3113,0,4.0,3,29.0,4.0,4,5,2,0,12.0,3.0,8.0,9.0,209.12,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3116,0,4.0,1,9.0,3.0,4,2,2,0,15.0,6.0,7.0,8.0,150.64,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3118,0,21.0,1,9.0,4.0,4,2,7,0,14.0,1.0,2.0,5.0,175.7,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
3120,0,9.0,1,29.0,3.0,6,3,2,0,16.0,3.0,5.0,4.0,167.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3121,0,28.0,1,15.0,3.0,4,3,9,0,12.0,2.0,2.0,1.0,162.8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3122,0,8.0,1,9.0,4.0,5,3,5,0,13.0,6.0,6.0,8.0,152.68,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3124,0,5.0,1,16.0,3.0,4,4,3,0,26.0,2.0,2.0,9.0,231.48000000000002,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
3126,1,1.0,1,17.0,3.0,6,2,9,0,14.0,1.0,2.0,4.0,159.08,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
3127,0,4.0,3,14.0,3.0,4,4,2,0,15.0,2.0,2.0,3.0,154.83,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3128,0,9.0,1,23.0,4.0,4,3,6,1,13.0,1.0,2.0,1.0,201.32,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
3131,0,16.0,1,12.0,4.0,4,3,6,0,18.0,3.0,3.0,1.0,145.93,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
3133,1,1.0,1,11.0,3.0,5,3,7,0,17.0,2.0,2.0,3.0,163.94,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3134,0,22.0,3,9.0,3.0,4,2,4,0,15.0,5.0,7.0,8.0,165.51,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
3136,0,15.0,3,17.0,3.0,4,2,9,0,15.0,1.0,2.0,11.0,187.3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3137,0,9.0,3,7.0,3.0,4,3,11,0,12.0,4.0,7.0,10.0,172.17,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3139,0,13.0,1,15.0,3.0,4,3,3,0,12.0,1.0,2.0,8.0,162.55,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
3140,0,5.0,3,9.0,4.0,4,2,6,1,14.0,2.0,2.0,6.0,190.82,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3141,0,16.0,1,31.0,3.0,4,5,3,1,22.0,5.0,6.0,9.0,199.06,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
3142,0,19.0,3,9.0,4.0,4,4,2,0,20.0,4.0,4.0,8.0,173.05,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
3143,1,1.0,2,24.0,3.0,4,3,2,1,12.0,1.0,2.0,1.0,152.41,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
3144,0,3.0,1,26.0,3.0,4,2,6,0,13.0,1.0,2.0,3.0,167.62,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3147,1,1.0,3,12.0,4.0,4,4,3,1,15.0,2.0,2.0,1.0,143.78,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3149,0,15.0,1,9.0,4.0,5,3,4,1,18.0,1.0,2.0,8.0,193.11,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
3150,0,1.0,3,36.0,3.0,4,3,7,0,13.0,2.0,2.0,1.0,168.06,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3151,0,9.0,3,7.0,4.0,4,3,3,0,17.0,1.0,2.0,4.0,173.59,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3152,0,8.0,3,28.0,4.0,3,2,3,0,13.0,6.0,6.0,8.0,178.37,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3153,1,1.0,1,31.0,4.0,6,2,3,1,19.0,2.0,2.0,1.0,148.4,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3154,0,11.0,1,7.0,3.0,4,2,6,0,18.0,2.0,2.0,3.0,199.91,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
3158,0,26.0,1,13.0,4.0,4,5,5,1,13.0,3.0,7.0,10.0,180.77,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3159,1,1.0,3,18.0,3.0,3,3,10,0,13.0,2.0,2.0,3.0,172.07,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
3160,0,1.0,3,31.0,3.0,4,2,2,0,14.0,1.0,3.0,2.0,149.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3162,0,11.0,1,7.0,4.0,4,4,8,0,13.0,4.0,5.0,4.0,189.47,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
3164,0,1.0,1,30.0,3.0,3,2,3,1,12.0,1.0,2.0,5.0,152.25,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3165,0,1.0,3,35.0,4.0,4,4,3,0,21.0,2.0,2.0,5.0,187.72,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3166,0,1.0,1,24.0,4.0,5,4,3,0,22.0,2.0,2.0,1.0,146.27,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
3168,0,1.0,3,20.0,3.0,4,3,3,0,12.0,2.0,2.0,7.0,145.96,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3169,1,1.0,1,14.0,3.0,4,3,3,1,17.0,1.0,2.0,3.0,153.86,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
3170,1,1.0,3,19.0,4.0,5,5,3,0,19.0,2.0,2.0,1.0,145.33,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3171,0,8.0,1,7.0,3.0,5,2,3,1,14.0,1.0,2.0,4.0,161.22,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3172,1,1.0,3,20.0,3.0,4,5,4,0,18.0,1.0,2.0,3.0,167.33,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3173,0,9.0,1,32.0,3.0,5,2,6,0,15.0,1.0,2.0,3.0,161.81,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
3174,0,5.0,3,13.0,4.0,3,2,6,0,23.0,4.0,6.0,8.0,179.6,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3175,0,1.0,1,13.0,4.0,5,3,2,0,13.0,2.0,2.0,4.0,146.87,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
3177,0,1.0,1,7.0,3.0,5,4,3,0,14.0,2.0,2.0,1.0,153.36,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3178,0,16.0,1,9.0,3.0,4,2,3,0,14.0,3.0,3.0,3.0,165.89,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
3180,0,12.0,1,7.0,3.0,4,5,5,0,18.0,2.0,2.0,1.0,151.19,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3181,0,17.0,1,16.0,4.0,4,3,5,1,14.0,3.0,5.0,8.0,181.79,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3183,0,18.0,2,7.0,3.0,5,3,6,0,12.0,2.0,2.0,3.0,184.85,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3184,0,8.0,3,21.0,3.0,4,3,3,1,19.0,2.0,2.0,7.0,150.79,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3185,1,1.0,3,9.0,3.0,4,5,2,0,12.0,1.0,2.0,3.0,155.41,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3186,0,1.0,3,29.0,3.0,4,3,3,0,12.0,2.0,2.0,3.0,159.47,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3188,0,1.0,1,13.0,4.0,4,3,2,0,21.0,3.0,3.0,3.0,152.73,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3189,0,7.0,3,15.0,3.0,4,3,2,0,13.0,2.0,2.0,3.0,196.04,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
3190,0,6.0,1,16.0,4.0,4,2,3,1,13.0,2.0,2.0,6.0,188.22,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
3191,0,4.0,1,10.0,4.0,4,3,3,0,21.0,2.0,2.0,1.0,145.83,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
3192,0,27.0,3,7.0,3.0,4,5,9,0,21.0,7.0,9.0,11.0,208.81,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3193,0,8.0,1,7.0,3.0,4,2,3,0,13.0,7.0,9.0,9.0,151.91,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3194,1,9.0,3,33.0,4.0,4,5,4,0,15.0,1.0,2.0,1.0,167.86,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
3195,0,1.0,1,13.0,4.0,4,2,3,1,14.0,1.0,2.0,3.0,151.59,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
3197,0,3.0,3,10.0,4.0,4,3,3,0,15.0,1.0,2.0,3.0,180.61,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3198,0,9.0,1,13.0,3.0,6,2,3,0,14.0,12.0,12.0,9.0,191.46,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3199,0,7.0,1,13.0,2.0,4,2,5,0,24.0,5.0,5.0,8.0,202.25,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
3202,0,1.0,1,10.0,3.0,5,2,2,0,14.0,1.0,2.0,2.0,145.45,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3203,1,1.0,1,17.0,3.0,4,3,3,1,12.0,1.0,2.0,2.0,135.09,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3204,1,1.0,1,10.0,4.0,4,5,3,1,12.0,10.0,10.0,8.0,158.48,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3205,0,9.0,1,10.0,3.0,5,3,3,0,19.0,2.0,2.0,1.0,137.81,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
3206,0,1.0,1,11.0,3.0,3,5,4,0,17.0,1.0,2.0,3.0,153.19,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3207,0,1.0,3,15.0,3.0,3,4,2,0,23.0,1.0,2.0,3.0,173.51,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3208,0,12.0,3,14.0,3.0,5,2,2,0,21.0,2.0,2.0,6.0,165.28,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
3209,0,3.0,1,7.0,4.0,6,2,3,0,19.0,3.0,3.0,9.0,152.2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3210,0,22.0,3,9.0,3.0,3,4,5,0,13.0,3.0,3.0,3.0,206.2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3211,0,1.0,3,10.0,4.0,3,2,3,1,21.0,2.0,2.0,5.0,171.47,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
3212,0,11.0,1,17.0,4.0,3,2,5,0,18.0,2.0,2.0,1.0,171.8,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3213,0,24.0,1,35.0,4.0,3,3,3,1,12.0,4.0,4.0,9.0,157.21,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3215,1,1.0,3,10.0,4.0,4,3,11,0,15.0,2.0,3.0,1.0,170.77,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3216,0,13.0,1,9.0,4.0,5,3,3,0,12.0,3.0,12.0,11.0,170.53,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3217,0,6.0,3,17.0,3.0,4,2,3,0,13.0,1.0,2.0,9.0,178.96,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3218,1,14.0,3,15.0,3.0,4,3,5,1,15.0,2.0,2.0,4.0,192.96,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3219,0,12.0,1,7.0,3.0,3,2,2,0,14.0,2.0,2.0,9.0,201.25,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
3220,0,1.0,1,7.0,4.0,4,5,3,0,12.0,2.0,2.0,8.0,199.12,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
3222,0,21.0,3,21.0,3.0,4,5,4,0,13.0,1.0,2.0,8.0,174.6,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3226,0,31.0,3,23.0,3.0,4,5,10,0,15.0,2.0,3.0,3.0,179.05,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3229,0,24.0,3,15.0,3.0,4,4,9,0,16.0,2.0,3.0,3.0,163.75,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3230,1,1.0,1,7.0,4.0,6,4,9,1,14.0,2.0,4.0,8.0,147.16,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3232,0,12.0,1,7.0,3.0,4,3,6,1,15.0,1.0,2.0,1.0,203.61,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
3233,0,18.0,1,31.0,3.0,6,3,4,0,15.0,1.0,2.0,5.0,162.08,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
3235,0,4.0,3,34.0,3.0,4,2,9,0,24.0,5.0,8.0,8.0,178.04,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
3236,0,3.0,3,17.0,3.0,4,3,3,0,12.0,1.0,2.0,1.0,151.42,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3237,1,6.0,1,26.0,3.0,3,3,8,1,13.0,3.0,3.0,3.0,152.59,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
3238,0,17.0,3,22.0,3.0,5,2,5,0,19.0,1.0,3.0,3.0,193.04,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3239,0,8.0,1,15.0,4.0,4,3,5,0,12.0,2.0,5.0,4.0,186.42,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3240,0,1.0,1,16.0,3.0,4,5,3,0,15.0,1.0,2.0,3.0,150.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
3241,0,13.0,2,10.0,3.0,3,4,11,0,16.0,4.0,4.0,7.0,188.89,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
3243,0,14.0,1,9.0,3.0,5,2,2,1,21.0,3.0,3.0,4.0,148.42,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3244,0,1.0,1,14.0,3.0,5,5,10,0,20.0,2.0,2.0,8.0,193.11,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3245,0,3.0,3,17.0,3.0,4,4,3,0,15.0,1.0,3.0,3.0,147.97,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3246,0,27.0,1,13.0,3.0,4,2,4,0,18.0,2.0,3.0,3.0,149.5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
